TMx,alignment,PRO,OBL,size,particle_n
30,hard,1.44,1.0,40,0.0014865581788203882
30,hard,1.44,1.0,50,0.0029765458285142886
30,hard,1.44,1.0,60,0.004527626560805767
30,hard,1.44,1.0,70,0.005818774714436897
30,hard,1.44,1.0,80,0.006696553129394985
30,hard,1.44,1.0,90,0.007144368414138858
30,hard,1.44,1.0,100,0.007222546931992369
30,hard,1.44,1.0,110,0.00702026396232658
30,hard,1.44,1.0,120,0.006626914512092686
30,hard,1.44,1.0,130,0.0061187201399893745
30,hard,1.44,1.0,140,0.0055546461511582134
30,hard,1.44,1.0,150,0.004977094724266289
30,hard,1.44,1.0,160,0.0044145694741437565
30,hard,1.44,1.0,170,0.003884801187529051
30,hard,1.44,1.0,180,0.003397629134056013
30,hard,1.44,1.0,190,0.0029573782962698347
30,hard,1.44,1.0,200,0.0025646954452581295
30,hard,1.44,1.0,210,0.0022179035335582447
30,hard,1.44,1.0,220,0.0019139649388057462
30,hard,1.44,1.0,230,0.0016491442429670726
30,hard,1.44,1.0,240,0.0014194489122358127
